Sample	Population	Approach	Total reads	Trimmed	Mapped	Endogenous%	Non-duplicate	mapped	Clonality %	Coverage	Probability Authentic (95 % CI) 
BOT14	Botai	Shotgun/Illumina 2500/HiSeqX10	2192272501	875017599	338021125	40.2	168384462	31.8	3.7	0.9791	(0.9675-0.9864)
BOT15	Botai	Shotgun/Illumina 2500/HiSeqX10	3258239520	1433625118	212931720	14.6	126664850	29	3	0.998	(0.9863-0.9998)
BOT2016	Botai	Shotgun/Illumina 2500/HiSeqX10	6563324840	2773092327	849998291	30.6	519384291	24	13.6	0.9948	(0.9876-0.9984)
Yamnaya	Yamnaya	Shotgun/Illumina 2500/HiSeqX10	6820561800	3407416890	2675370010	77.3	1123187429	46.1	25.2	0.9886	(0.9827-0.9929)
EBA1	CentralSteppe_EMBA	Shotgun/Illumina 2500/HiSeqX10	3368109128	1434495369	460033579	32.2	257270049	20.6	4.5	0.9566	(0.9439-0.9673)
EBA2	CentralSteppe_EMBA	Shotgun/Illumina 2500/HiSeqX10	2482629018	1191642239	644534121	49.9	394357733	23.5	9.1	0.9937	(0.9873-0.9982)
Sidelkino	SidelkinoEHG_ML	Shotgun/Illumina 2500	374758967	339356731	240884232	71	174337943	4	2.9	0.9954	(0.9885-0.9990)
DA379	Namazga_CA	Shotgun/Illumina 2500	167100464	121785756	3345648	2	3292668	1.6	0.1	0.9855	(0.9288-0.9982)
DA380	Namazga_CA	Shotgun/Illumina 2500	146823356	123045346	29603426	20.2	28144957	4.9	0.5	0.9892	(0.9726-0.9977)
DA381	Namazga_CA	Shotgun/Illumina 2500	301840070	235646784	56568028	18.7	55097492	2.6	0.8	0.9996	(0.9925-0.9999)
DA383	Namazga_CA	Shotgun/Illumina 2500	150392401	128810489	52626463	35	49579801	5.8	0.8	0.9988	(0.9825-0.9997)
DA382	Turkmenistan_IA	Shotgun/Illumina 2500	302180862	277799882	148879656	49.3	145713533	2.1	2.5	0.9996	(0.9940-0.9999)
MA2195	Anatolia_Ottoman	Shotgun/Illumina 2500	139394266	120773729	52093247	37.4	44452475	14.7	0.9	0.9995	(0.9906-0.9999)
MA2196	Anatolia_Ottoman	Shotgun/Illumina 2500	19263518	18517734	12791403	66.4	12328624	3.6	0.3	0.9898	(0.9692-0.9983)
MA2197	Anatolia_IA	Shotgun/Illumina 2500	14202511	11907084	6703251	47.2	6367699	5	0.1	0.9983	(0.9671-0.9997)
MA2198	Anatolia_IA	Shotgun/Illumina 2500	68947699	66868570	38282336	55.5	36731227	4.1	0.8	0.9832	(0.9703-0.9909)
MA2200	Anatolia_MLBA	Shotgun/Illumina 2500	278699922	234951794	135920736	48.8	121592180	10.5	2.2	0.9877	(0.9771-0.9944)
MA2203	Anatolia_MLBA	Shotgun/Illumina 2500	200867597	169526141	52589100	26.2	49614004	5.7	0.9	0.9996	(0.9928-0.9999)
MA2205	Anatolia_MLBA	Shotgun/Illumina 2500	85020838	79162433	44015910	51.8	42080032	4.4	0.8	0.9995	(0.9924-0.9999)
MA2206	Anatolia_MLBA	Shotgun/Illumina 2500	248367711	214763480	40763269	16.4	22308224	45.3	0.4	0.9943	(0.9843-0.9992)
MA2208	Anatolia_MLBA	Shotgun/Illumina 2500	125464977	67512900	27649991	22	6810359	75.4	0.1	0.9449	(0.8869-0.9819)
MA2210	Anatolia_EBA	Shotgun/Illumina 2500	126406011	109308921	50150042	39.7	47737328	4.8	0.9	0.9997	(0.9939-0.9999)
MA2212	Anatolia_EBA	Shotgun/Illumina 2500	239127212	149093443	64936710	27.2	59049012	9.1	0.9	0.9989	(0.9895-0.9998)
MA2213	Anatolia_EBA	Shotgun/Illumina 2500	368438736	277789904	72819648	19.8	68976171	5.3	1.2	0.9944	(0.9820-0.9995)
RISE515	Okunevo_EMBA	Shotgun/Illumina 2500	1783268077	1461556032	199713542	13.7	26762962	86.6	0.6	0.9998	(0.9954-1.0000)
RISE516	Okunevo_EMBA	Shotgun/Illumina 2500	1278867523	1014478964	138968978	13.7	44121941	68.3	0.9	0.9998	(0.9957-1.0000)
RISE662	Okunevo_EMBA	Shotgun/Illumina 2500	225121907	166283480	102779809	61.8	46334917	54.9	0.6	0.9997	(0.9932-0.9999)
RISE664	Okunevo_EMBA	Shotgun/Illumina 2500	389290051	364213753	254781563	70	233010348	8.5	4.6	0.9525	(0.9348-0.9650)
RISE667	Okunevo_EMBA	Shotgun/Illumina 2500	54173973	49772083	7318294	14.7	10279306	31	0.2	0.9994	(0.9879-0.9999)
RISE670	Okunevo_EMBA	Shotgun/Illumina 2500	108012364	100845664	32658656	32.4	31326486	4.1	0.7	0.9984	(0.9824-0.9998)
RISE671	Okunevo_EMBA	Shotgun/Illumina 2500	550866525	476213513	15353684	3.2	14693369	4.3	0.3	0.9997	(0.9933-1.0000)
RISE672	Okunevo_EMBA	Shotgun/Illumina 2500	414291899	312321446	95421239	30.6	75136424	21.3	1.2	0.9992	(0.9907-0.9999)
RISE673	Okunevo_EMBA	Shotgun/Illumina 2500	144799175	132936270	5719317	4.3	5701246	41.4	0.1	0.9951	(0.9776-0.9994)
RISE674	Okunevo_EMBA	Shotgun/Illumina 2500	245701496	239518662	136219559	56.9	125799394	7.6	2.6	0.9992	(0.9916-0.9999)
RISE675	Okunevo_EMBA	Shotgun/Illumina 2500	64309347	61733688	31770813	51.5	23328642	26.6	0.5	0.9992	(0.9845-0.9999)
RISE677	Okunevo_EMBA	Shotgun/Illumina 2500	113279212	109527506	3671588	3.4	12617825	34.9	0.3	0.9993	(0.9882-0.9999)
RISE680	Okunevo_EMBA	Shotgun/Illumina 2500	570996627	495906372	80009784	16.1	72927202	8.9	1.5	0.9997	(0.9946-1.0000)
RISE681	Okunevo_EMBA	Shotgun/Illumina 2500	155122917	137120090	23342542	17	24992043	80.4	0.5	0.9979	(0.9925-0.9997)
RISE683	Okunevo_EMBA	Shotgun/Illumina 2500	459719628	420130869	154765683	36.8	123037686	20.5	2	0.9995	(0.9909-0.9999)
RISE684	Okunevo_EMBA	Shotgun/Illumina 2500	57184624	53344713	25467314	47.7	24747517	2.8	0.5	0.9841	(0.9628-0.9953)
RISE685	Okunevo_EMBA	Shotgun/Illumina 2500	267430858	231916916	100594496	43.4	62567628	37.8	1.3	0.9739	(0.9586-0.9837)
RISE718	Okunevo_EMBA	Shotgun/Illumina 2500	78903540	75346364	46257278	61.4	42442137	8.2	0.8	0.978	(0.9611-0.9897)
RISE719	Okunevo_EMBA	Shotgun/Illumina 2500	68022374	66251023	30840649	46.6	26628029	13.6	0.6	0.9874	(0.9760-0.9940)
DA245	Shamanka_EN	Shotgun/Illumina 2500	162814301	157893611	107620040	68.2	101495484	5.7	2.2	0.9945	(0.9861-0.9992)
DA246	Shamanka_EN	Shotgun/Illumina 2500	196808425	192033838	142597590	74.3	129711403	9	2.9	0.9942	(0.9840-0.9992)
DA247	Shamanka_EN	Shotgun/Illumina 2500	227346763	218167045	123110325	56.4	113828443	7.5	2.4	0.9772	(0.9644-0.9855)
DA248	Shamanka_EN	Shotgun/Illumina 2500	176878767	169341415	116361008	68.7	104983472	9.8	2.3	0.9763	(0.9613-0.9876)
DA249	Shamanka_EN	Shotgun/Illumina 2500	327775553	318997226	230221567	72.2	204074308	11.4	4.5	0.9642	(0.9521-0.9740)
DA250	Shamanka_EN	Shotgun/Illumina 2500	154098108	140930953	57434613	40.8	54052423	5.9	0.9	0.9962	(0.9826-0.9997)
DA251	Shamanka_EN	Shotgun/Illumina 2500	232916764	210122856	26853705	12.8	25878772	3.6	0.6	0.9879	(0.9739-0.9976)
DA252	Shamanka_EN	Shotgun/Illumina 2500	200437910	192696563	117408213	60.9	108012064	8	2.4	0.9839	(0.9663-0.9949)
DA253	Shamanka_EN	Shotgun/Illumina 2500	218275178	209560446	139008225	66.3	126504028	9	2.7	0.9969	(0.9916-0.9993)
DA334	Shamanka_EBA	Shotgun/Illumina 2500	103757960	95727037	26361756	27.5	24589270	6.7	0.5	0.9683	(0.9536-0.9808)
DA335	Shamanka_EBA	Shotgun/Illumina 2500	81631491	76980076	34539800	44.9	22685723	34.3	0.5	0.9987	(0.9936-0.9997)
DA336	Shamanka_EBA	Shotgun/Illumina 2500	97815430	91827389	40179131	43.8	32714889	18.6	0.7	0.9758	(0.9620-0.9848)
DA337	Shamanka_EBA	Shotgun/Illumina 2500	105263805	98281097	62573101	63.7	56238516	10.1	1.1	0.9816	(0.9714-0.9891)
DA338	Shamanka_EBA	Shotgun/Illumina 2500	94862480	88118581	23377137	26.5	20699277	11.5	0.4	0.9774	(0.9629-0.9892)
DA339	Shamanka_EBA	Shotgun/Illumina 2500	72483521	69795739	15572767	22.3	14097198	9.5	0.3	0.9929	(0.9819-0.9993)
DA340	Lokomotiv_EN	Shotgun/Illumina 2500	208345480	188293011	31481459	16.7	30683122	2.5	0.6	0.9993	(0.9863-0.9999)
DA341	Lokomotiv_EN	Shotgun/Illumina 2500	118127945	110691995	59780536	54	56135151	6.1	1.2	0.9945	(0.9826-0.9993)
DA342	UstIda_LN	Shotgun/Illumina 2500	195311656	186638454	90564181	48.5	83344165	8	1.7	0.9947	(0.9846-0.9991)
DA343	UstIda_EBA	Shotgun/Illumina 2500	76731250	71099845	34742212	48.9	29838435	14.1	0.6	0.9914	(0.9794-0.9989)
DA344	UstIda_LN	Shotgun/Illumina 2500	50563357	46552213	24151745	51.9	11222522	53.5	0.2	0.9826	(0.9599-0.9941)
DA345	UstIda_LN	Shotgun/Illumina 2500	93807114	88926771	53959672	60.7	49305041	8.6	1	0.9543	(0.9344-0.9693)
DA353	UstIda_EBA	Shotgun/Illumina 2500	72655137	60926879	38003425	62.4	10048972	73.6	0.2	0.9502	(0.8794-0.9834)
DA354	Kurma_EBA	Shotgun/Illumina 2500	167216578	126180424	17777366	14.1	12815167	27.9	0.2	0.9987	(0.9729-0.9998)
DA355	UstIda_LN	Shotgun/Illumina 2500	150852349	125317315	36542206	29.2	27240982	25.5	0.4	0.999	(0.9828-0.9998)
DA356	UstIda_EBA	Shotgun/Illumina 2500	146021057	132174503	31814087	24.1	20058229	37	0.4	0.9612	(0.9434-0.9732)
DA357	Lokomotiv_EN	Shotgun/Illumina 2500	116412845	106799820	32852067	30.8	19213306	41.5	0.4	0.9992	(0.9870-0.9998)
DA358	Kurma_EBA	Shotgun/Illumina 2500	197490686	163807739	55746327	34	44528471	20.1	0.9	0.9996	(0.9924-0.9999)
DA359	Lokomotiv_EN	Shotgun/Illumina 2500	94856162	86833551	50797883	58.5	35078164	30.9	0.7	0.9989	(0.9851-0.9998)
DA360	Kurma_EBA	Shotgun/Illumina 2500	110520252	94120580	27668547	29.4	15883302	42.6	0.3	0.9985	(0.9848-0.9998)
DA361	UstIda_EBA	Shotgun/Illumina 2500	168686829	141465106	49697236	35.1	28622309	42.4	0.6	0.9556	(0.9366-0.9680)
DA362	Shamanka_EN	Shotgun/Illumina 2500	156194048	148324489	99610247	67.2	50570847	49.2	1.1	0.9953	(0.9872-0.9994)
